district,district_check,merge,province,year,mz_ha_dry,mz_ha_irr,mz_pr_dry,mz_pr_irr,wh_ha_dry,wh_ha_irr,wh_pr_dry,wh_pr_irr
Hartswater,Hartswater,,Northern Cape,2007,4137,6767,15355,51251,2039,5188,5640,25806
Hay,Hay,,Northern Cape,2007,113,104,1252,1072,10,101,25,678
Heidelberg,Heidelberg,,Gauteng,2007,11620,110,42075,680,,,,
Heidelberg,Heidelberg,,Western Cape,2007,1978,66,5532,593,7445,533,18025,1758
Heilbron,Heilbron,,Free State,2007,18420,2515,39711,8645,3022,90,6108,183
Hennenman,Hennenman,,Free State,2007,7960,382,22319,931,1166,183,4878,1015
Herbert,Herbert,,Northern Cape,2007,8002,8713,25489,92410,4408,6803,12531,48857
Hermanus,Hermanus,,Western Cape,2007,,,,,,,,
Highveld Ridge,Highveld Ridge,,Mpumalanga,2007,17801,775,63678,6510,,88,,510
Hlabisa,Hlabisa,,KwaZulu-Natal,2007,50,300,300,3000,,,,
Hofmeyr,Hofmeyr,,Eastern Cape,2007,,211,,2284,,35,,110
Hoopstad,Hoopstad,,Free State,2007,107494,3046,317462,24816,4519,958,11646,6267
Hopefield,Hopefield,,Western Cape,2007,1321,,5579,,10415,1530,29522,3783
Hopetown,Hopetown,,Northern Cape,2007,5573,8772,21143,77793,3532,7399,9772,42682
Huhudi,Huhudi,,North West,2007,,,,,,400,,1571
Humansdorp,Humansdorp,,Eastern Cape,2007,1357,490,8449,4994,348,,380,
Impendle,Impendle,,KwaZulu-Natal,2007,209,15,1433,93,,,,
Inanda,Inanda,,KwaZulu-Natal,2007,47,,99,,,,,
Indwe,Indwe,,Eastern Cape,2007,35,,145,,,,,
Ixopo,Ixopo,,KwaZulu-Natal,2007,546,120,2003,372,,,,
Jacobsdal,Jacobsdal,,Free State,2007,2125,1709,7328,11647,450,1124,1417,4429
Jagersfontein,Jagersfontein,,Free State,2007,,,,,50,,65,
Jansenville,Jansenville,,Eastern Cape,2007,,,,,,,,
Johannesburg,Johannesburg,,Gauteng,2007,,,,,,,,
Joubertina,Joubertina,,Eastern Cape,2007,52,,158,,70,,70,
Kempton Park,Kempton Park,,Gauteng,2007,320,,531,,,,,
Kenhardt,Kenhardt,,Northern Cape,2007,,42,,286,,20,,122
Kimberley,Kimberley,,Northern Cape,2007,1674,2662,6101,20808,1203,3193,2737,14075
King William's  Town,King William's  Town,,Eastern Cape,2007,,,,,,,,
Kirkwood,Kirkwood,,Eastern Cape,2007,,,,,,,,
Klerksdorp,Klerksdorp,,North West,2007,27353,2642,69394,14155,255,363,510,1240
Kliprivier,Kliprivier,,KwaZulu-Natal,2007,6200,569,17621,4690,1821,261,2515,1101
Knysna,Knysna,,Western Cape,2007,,,,,,,,
Koffiefontein,Koffiefontein,,Free State,2007,40,84,124,590,850,20,850,120
Komatipoort,Komga,s1,Mpumalanga,2007,227,29,864,182,,,,
Komga,Komga,,Eastern Cape,2007,,,,,,,,
Koppies,Koppies,,Free State,2007,18672,397,54308,2103,3421,102,7128,428
Kranskop,Kranskop,,KwaZulu-Natal,2007,823,59,3363,424,,,,
Kriel,Kriel,,Mpumalanga,2007,6259,165,25210,1638,,,,
Kroonstad,Kroonstad,,Free State,2007,38284,395,119197,2659,5747,,12185,
Krugersdorp,Krugersdorp,,Gauteng,2007,462,150,933,625,,,,
Kudumane,Kudumane,,North West,2007,1500,,3191,,,,,
Kuils River,Kuils River,,Western Cape,2007,,,,,,,,
Kuruman,Kuruman,,Northern Cape,2007,20,,63,,,,,
KwaMhlanga,KwaMhlanga,,Mpumalanga,2007,50,,191,,,,,
Ladismith,Ladismith,,Western Cape,2007,,55,,278,,,,
Lady Grey,Lady Grey,,Eastern Cape,2007,72,,191,,,,,
Ladybrand,Ladybrand,,Free State,2007,6152,45,16424,227,6211,164,11425,320
Laingsburg,Laingsburg,,Western Cape,2007,,,,,287,,460,
Lambertsbay,LAIO,s2,Western Cape,2007,,,,,,,,
Letaba,Letaba,,Limpopo,2007,40,813,200,4311,,100,,220
Lichtenburg,Lichtenburg,,North West,2007,138206,8402,335509,48636,1042,2040,2878,9313
Lindley,Lindley,,Free State,2007,11495,311,35668,2390,7704,358,15406,1641
Lions River,Lions River,,KwaZulu-Natal,2007,791,145,4996,1644,,90,,470
Lower Tugela,Lower Tugela,,KwaZulu-Natal,2007,136,,691,,,,,
Lower Umfolozi,Lower Umfolozi,,KwaZulu-Natal,2007,,,,,,,,
Lydenburg,Lydenburg,,Mpumalanga,2007,3238,1670,11259,10081,60,693,200,4289
Maclear,Maclear,,Eastern Cape,2007,2070,198,7388,1340,75,,70,
Madikwe,Madikwe,,North West,2007,2933,237,6623,1326,25,273,77,1364
Malelane,MAE,s1,Mpumalanga,2007,1567,204,5971,1258,,,,
Malmesbury,Malmesbury,,Western Cape,2007,3100,,8905,,44324,1879,104764,9454
Mankwe,Mankwe,,North West,2007,689,,1311,,,,,
